year;month;day;day_of_week;gender;births
1994;1;1;6;F;8096
1994;1;2;7;M;7772
1994;1;3;1;F;10142
1994;1;4;2;M;11248
1994;1;5;3;F;11053
1994;1;6;4;M;11406
1994;1;7;5;F;11251
1994;1;8;6;M;8653
1994;1;9;7;F;7910
1994;1;10;1;M;10498
1994;1;11;2;F;11706
1994;1;12;3;M;11567
1994;1;13;4;F;11212
1994;1;14;5;M;11570
1994;1;15;6;F;8660
1994;1;16;7;M;8123
1994;1;17;1;F;10567
1994;1;18;2;M;11541
1994;1;19;3;F;11257
1994;1;20;4;M;11682
1994;1;21;5;F;11811
1994;1;22;6;M;8833
1994;1;23;7;F;8310
1994;1;24;1;M;11125
1994;1;25;2;F;11981
1994;1;26;3;M;11514
1994;1;27;4;F;11702
1994;1;28;5;M;11666
1994;1;29;6;F;8988
1994;1;30;7;M;8096
1994;1;31;1;F;10765
1994;2;1;2;M;11755
1994;2;2;3;F;11483
1994;2;3;4;M;11523
1994;2;4;5;F;11677
1994;2;5;6;M;8991
1994;2;6;7;F;8309
1994;2;7;1;M;10984
1994;2;8;2;F;12152
1994;2;9;3;M;11515
1994;2;10;4;F;11623
1994;2;11;5;M;11517
1994;2;12;6;F;8945
1994;2;13;7;M;8171
1994;2;14;1;F;11551
1994;2;15;2;M;12164
1994;2;16;3;F;12009
1994;2;17;4;M;11674
1994;2;18;5;F;11887
1994;2;19;6;M;8946
1994;2;20;7;F;8402
1994;2;21;1;M;10617
1994;2;22;2;F;11810
1994;2;23;3;M;11776
1994;2;24;4;F;11667
1994;2;25;5;M;11905
1994;2;26;6;F;8988
1994;2;27;7;M;8195
1994;2;28;1;F;11091
1994;3;1;2;M;12127
1994;3;2;3;F;11735
1994;3;3;4;M;11984
1994;3;4;5;F;12066
1994;3;5;6;M;9215
1994;3;6;7;F;8389
1994;3;7;1;M;10996
1994;3;8;2;F;12275
1994;3;9;3;M;11780
1994;3;10;4;F;11792
1994;3;11;5;M;11939
1994;3;12;6;F;9087
1994;3;13;7;M;8248
1994;3;14;1;F;11092
1994;3;15;2;M;12298
1994;3;16;3;F;11865
1994;3;17;4;M;11976
1994;3;18;5;F;11799
1994;3;19;6;M;8944
1994;3;20;7;F;8243
1994;3;21;1;M;11140
1994;3;22;2;F;11964
1994;3;23;3;M;11637
1994;3;24;4;F;11904
1994;3;25;5;M;11568
1994;3;26;6;F;8957
1994;3;27;7;M;8189
1994;3;28;1;F;11051
1994;3;29;2;M;12154
1994;3;30;3;F;11540
1994;3;31;4;M;11782
1994;4;1;5;F;10630
1994;4;2;6;M;8782
1994;4;3;7;F;7530
1994;4;4;1;M;10909
1994;4;5;2;F;11876
1994;4;6;3;M;11811
1994;4;7;4;F;11718
1994;4;8;5;M;11532
1994;4;9;6;F;8791
1994;4;10;7;M;8183
1994;4;11;1;F;11060
1994;4;12;2;M;12146
1994;4;13;3;F;11428
1994;4;14;4;M;11709
1994;4;15;5;F;11753
1994;4;16;6;M;8790
1994;4;17;7;F;7867
1994;4;18;1;M;11094
1994;4;19;2;F;11966
1994;4;20;3;M;11585
1994;4;21;4;F;11509
1994;4;22;5;M;11553
1994;4;23;6;F;8613
1994;4;24;7;M;8089
1994;4;25;1;F;10909
1994;4;26;2;M;12236
1994;4;27;3;F;11701
1994;4;28;4;M;11527
1994;4;29;5;F;11474
1994;4;30;6;M;8621
1994;5;1;7;F;8145
1994;5;2;1;M;11169
1994;5;3;2;F;12023
1994;5;4;3;M;11754
1994;5;5;4;F;11958
1994;5;6;5;M;11904
1994;5;7;6;F;8641
1994;5;8;7;M;8203
1994;5;9;1;F;10914
1994;5;10;2;M;11771
1994;5;11;3;F;11278
1994;5;12;4;M;11822
1994;5;13;5;F;11085
1994;5;14;6;M;8830
1994;5;15;7;F;8253
1994;5;16;1;M;11103
1994;5;17;2;F;12289
1994;5;18;3;M;11668
1994;5;19;4;F;11411
1994;5;20;5;M;11645
1994;5;21;6;F;8830
1994;5;22;7;M;8449
1994;5;23;1;F;11434
1994;5;24;2;M;12562
1994;5;25;3;F;12005
1994;5;26;4;M;11979
1994;5;27;5;F;12132
1994;5;28;6;M;8840
1994;5;29;7;F;8205
1994;5;30;1;M;8468
1994;5;31;2;F;11525
1994;6;1;3;M;12349
1994;6;2;4;F;12166
1994;6;3;5;M;11799
1994;6;4;6;F;9182
1994;6;5;7;M;8289
1994;6;6;1;F;11130
1994;6;7;2;M;12145
1994;6;8;3;F;11784
1994;6;9;4;M;11648
1994;6;10;5;F;12006
1994;6;11;6;M;8618
1994;6;12;7;F;8171
1994;6;13;1;M;10692
1994;6;14;2;F;12074
1994;6;15;3;M;11954
1994;6;16;4;F;11852
1994;6;17;5;M;11744
1994;6;18;6;F;8907
1994;6;19;7;M;8302
1994;6;20;1;F;11337
1994;6;21;2;M;12182
1994;6;22;3;F;12213
1994;6;23;4;M;11939
1994;6;24;5;F;11979
1994;6;25;6;M;9047
1994;6;26;7;F;8306
1994;6;27;1;M;11309
1994;6;28;2;F;12211
1994;6;29;3;M;12245
1994;6;30;4;F;12157
1994;7;1;5;M;12454
1994;7;2;6;F;9268
1994;7;3;7;M;8298
1994;7;4;1;F;8564
1994;7;5;2;M;11609
1994;7;6;3;F;13086
1994;7;7;4;M;13049
1994;7;8;5;F;12623
1994;7;9;6;M;9325
1994;7;10;7;F;8684
1994;7;11;1;M;11567
1994;7;12;2;F;12507
1994;7;13;3;M;12134
1994;7;14;4;F;12485
1994;7;15;5;M;12691
1994;7;16;6;F;9547
1994;7;17;7;M;8848
1994;7;18;1;F;11561
1994;7;19;2;M;12583
1994;7;20;3;F;12378
1994;7;21;4;M;12447
1994;7;22;5;F;12486
1994;7;23;6;M;9463
1994;7;24;7;F;8734
1994;7;25;1;M;11757
1994;7;26;2;F;12591
1994;7;27;3;M;12423
1994;7;28;4;F;12539
1994;7;29;5;M;12231
1994;7;30;6;F;9340
1994;7;31;7;M;8590
1994;8;1;1;F;11428
1994;8;2;2;M;12622
1994;8;3;3;F;12147
1994;8;4;4;M;12601
1994;8;5;5;F;12251
1994;8;6;6;M;9336
1994;8;7;7;F;8517
1994;8;8;1;M;11528
1994;8;9;2;F;12643
1994;8;10;3;M;12525
1994;8;11;4;F;12147
1994;8;12;5;M;12479
1994;8;13;6;F;9474
1994;8;14;7;M;8926
1994;8;15;1;F;11391
1994;8;16;2;M;12605
1994;8;17;3;F;12344
1994;8;18;4;M;12313
1994;8;19;5;F;12227
1994;8;20;6;M;9646
1994;8;21;7;F;8663
1994;8;22;1;M;11489
1994;8;23;2;F;12284
1994;8;24;3;M;12176
1994;8;25;4;F;12076
1994;8;26;5;M;12122
1994;8;27;6;F;9171
1994;8;28;7;M;8779
1994;8;29;1;F;11560
1994;8;30;2;M;12431
1994;8;31;3;F;12272
1994;9;1;4;M;12183
1994;9;2;5;F;12099
1994;9;3;6;M;9042
1994;9;4;7;F;8420
1994;9;5;1;M;8378
1994;9;6;2;F;11448
1994;9;7;3;M;12660
1994;9;8;4;F;12693
1994;9;9;5;M;12811
1994;9;10;6;F;9424
1994;9;11;7;M;8373
1994;9;12;1;F;11500
1994;9;13;2;M;12560
1994;9;14;3;F;12566
1994;9;15;4;M;12655
1994;9;16;5;F;12884
1994;9;17;6;M;9779
1994;9;18;7;F;8603
1994;9;19;1;M;11659
1994;9;20;2;F;12584
1994;9;21;3;M;12468
1994;9;22;4;F;12590
1994;9;23;5;M;12522
1994;9;24;6;F;9597
1994;9;25;7;M;8754
1994;9;26;1;F;11597
1994;9;27;2;M;12591
1994;9;28;3;F;12405
1994;9;29;4;M;12288
1994;9;30;5;F;12090
1994;10;1;6;M;9351
1994;10;2;7;F;8477
1994;10;3;1;M;11437
1994;10;4;2;F;12378
1994;10;5;3;M;12061
1994;10;6;4;F;12017
1994;10;7;5;M;12050
1994;10;8;6;F;8981
1994;10;9;7;M;8038
1994;10;10;1;F;11110
1994;10;11;2;M;12236
1994;10;12;3;F;11846
1994;10;13;4;M;11398
1994;10;14;5;F;11959
1994;10;15;6;M;9077
1994;10;16;7;F;8022
1994;10;17;1;M;11127
1994;10;18;2;F;11888
1994;10;19;3;M;11533
1994;10;20;4;F;11876
1994;10;21;5;M;11562
1994;10;22;6;F;9086
1994;10;23;7;M;7914
1994;10;24;1;F;11068
1994;10;25;2;M;12019
1994;10;26;3;F;11683
1994;10;27;4;M;11420
1994;10;28;5;F;11608
1994;10;29;6;M;8855
1994;10;30;7;F;8262
1994;10;31;1;M;9833
1994;11;1;2;F;12316
1994;11;2;3;M;11736
1994;11;3;4;F;11703
1994;11;4;5;M;11956
1994;11;5;6;F;8826
1994;11;6;7;M;8100
1994;11;7;1;F;11283
1994;11;8;2;M;11999
1994;11;9;3;F;11811
1994;11;10;4;M;11728
1994;11;11;5;F;11533
1994;11;12;6;M;8672
1994;11;13;7;F;8093
1994;11;14;1;M;11044
1994;11;15;2;F;11985
1994;11;16;3;M;11634
1994;11;17;4;F;11703
1994;11;18;5;M;11826
1994;11;19;6;F;8771
1994;11;20;7;M;8133
1994;11;21;1;F;11807
1994;11;22;2;M;12764
1994;11;23;3;F;11332
1994;11;24;4;M;8036
1994;11;25;5;F;9419
1994;11;26;6;M;8427
1994;11;27;7;F;7937
1994;11;28;1;M;11003
1994;11;29;2;F;12177
1994;11;30;3;M;11643
1994;12;1;4;F;11681
1994;12;2;5;M;11379
1994;12;3;6;F;8585
1994;12;4;7;M;7980
1994;12;5;1;F;10772
1994;12;6;2;M;11923
1994;12;7;3;F;11335
1994;12;8;4;M;11337
1994;12;9;5;F;11205
1994;12;10;6;M;8461
1994;12;11;7;F;7936
1994;12;12;1;M;11106
1994;12;13;2;F;11884
1994;12;14;3;M;11716
1994;12;15;4;F;11962
1994;12;16;5;M;12144
1994;12;17;6;F;8726
1994;12;18;7;M;8130
1994;12;19;1;F;11502
1994;12;20;2;M;12880
1994;12;21;3;F;12391
1994;12;22;4;M;11504
1994;12;23;5;F;10087
1994;12;24;6;M;7898
1994;12;25;7;F;7192
1994;12;26;1;M;8454
1994;12;27;2;F;11131
1994;12;28;3;M;12398
1994;12;29;4;F;12189
1994;12;30;5;M;12051
1994;12;31;6;F;8809
1995;1;1;7;M;7828
1995;1;2;1;F;7883
1995;1;3;2;M;9999
1995;1;4;3;F;11315
1995;1;5;4;M;11243
1995;1;6;5;F;11506
1995;1;7;6;M;8681
1995;1;8;7;F;7821
1995;1;9;1;M;10434
1995;1;10;2;F;11665
1995;1;11;3;M;11279
1995;1;12;4;F;11416
1995;1;13;5;M;11071
1995;1;14;6;F;8887
1995;1;15;7;M;7988
1995;1;16;1;F;10417
1995;1;17;2;M;11345
1995;1;18;3;F;11252
1995;1;19;4;M;11331
1995;1;20;5;F;11481
1995;1;21;6;M;8746
1995;1;22;7;F;7956
1995;1;23;1;M;10640
1995;1;24;2;F;11344
1995;1;25;3;M;11096
1995;1;26;4;F;11380
1995;1;27;5;M;11340
1995;1;28;6;F;8781
1995;1;29;7;M;8009
1995;1;30;1;F;10515
1995;1;31;2;M;11364
1995;2;1;3;F;11279
1995;2;2;4;M;11490
1995;2;3;5;F;11264
1995;2;4;6;M;8769
1995;2;5;7;F;8017
1995;2;6;1;M;10587
1995;2;7;2;F;11483
1995;2;8;3;M;11205
1995;2;9;4;F;11282
1995;2;10;5;M;11615
1995;2;11;6;F;8949
1995;2;12;7;M;8007
1995;2;13;1;F;10351
1995;2;14;2;M;12454
1995;2;15;3;F;11828
1995;2;16;4;M;11657
1995;2;17;5;F;11625
1995;2;18;6;M;8788
1995;2;19;7;F;8038
1995;2;20;1;M;10258
1995;2;21;2;F;11582
1995;2;22;3;M;11716
1995;2;23;4;F;11786
1995;2;24;5;M;11671
1995;2;25;6;F;8829
1995;2;26;7;M;8183
1995;2;27;1;F;10702
1995;2;28;2;M;11679
1995;3;1;3;F;11540
1995;3;2;4;M;11377
1995;3;3;5;F;11649
1995;3;4;6;M;8807
1995;3;5;7;F;7984
1995;3;6;1;M;10810
1995;3;7;2;F;12115
1995;3;8;3;M;11618
1995;3;9;4;F;11380
1995;3;10;5;M;11827
1995;3;11;6;F;8744
1995;3;12;7;M;7859
1995;3;13;1;F;10609
1995;3;14;2;M;11750
1995;3;15;3;F;11736
1995;3;16;4;M;11751
1995;3;17;5;F;11953
1995;3;18;6;M;8538
1995;3;19;7;F;7787
1995;3;20;1;M;10588
1995;3;21;2;F;11837
1995;3;22;3;M;11485
1995;3;23;4;F;11435
1995;3;24;5;M;11329
1995;3;25;6;F;8628
1995;3;26;7;M;7614
1995;3;27;1;F;10541
1995;3;28;2;M;11563
1995;3;29;3;F;11125
1995;3;30;4;M;11205
1995;3;31;5;F;11319
1995;4;1;6;M;8398
1995;4;2;7;F;7547
1995;4;3;1;M;10651
1995;4;4;2;F;11960
1995;4;5;3;M;11475
1995;4;6;4;F;11429
1995;4;7;5;M;11587
1995;4;8;6;F;8588
1995;4;9;7;M;7839
1995;4;10;1;F;10930
1995;4;11;2;M;11939
1995;4;12;3;F;11750
1995;4;13;4;M;11411
1995;4;14;5;F;10687
1995;4;15;6;M;8492
1995;4;16;7;F;7503
1995;4;17;1;M;10640
1995;4;18;2;F;11652
1995;4;19;3;M;11680
1995;4;20;4;F;11504
1995;4;21;5;M;11445
1995;4;22;6;F;8560
1995;4;23;7;M;7749
1995;4;24;1;F;11014
1995;4;25;2;M;11811
1995;4;26;3;F;11551
1995;4;27;4;M;11601
1995;4;28;5;F;11457
1995;4;29;6;M;8492
1995;4;30;7;F;7777
1995;5;1;1;M;11090
1995;5;2;2;F;12119
1995;5;3;3;M;11502
1995;5;4;4;F;11800
1995;5;5;5;M;11718
1995;5;6;6;F;8565
1995;5;7;7;M;7965
1995;5;8;1;F;10790
1995;5;9;2;M;11728
1995;5;10;3;F;11723
1995;5;11;4;M;11723
1995;5;12;5;F;11625
1995;5;13;6;M;8802
1995;5;14;7;F;8165
1995;5;15;1;M;11143
1995;5;16;2;F;12101
1995;5;17;3;M;12085
1995;5;18;4;F;11872
1995;5;19;5;M;11692
1995;5;20;6;F;8721
1995;5;21;7;M;8096
1995;5;22;1;F;11250
1995;5;23;2;M;12539
1995;5;24;3;F;12193
1995;5;25;4;M;12285
1995;5;26;5;F;12246
1995;5;27;6;M;8795
1995;5;28;7;F;8167
1995;5;29;1;M;8379
1995;5;30;2;F;11271
1995;5;31;3;M;12393
1995;6;1;4;F;12243
1995;6;2;5;M;11991
1995;6;3;6;F;9069
1995;6;4;7;M;8059
1995;6;5;1;F;11152
1995;6;6;2;M;12119
1995;6;7;3;F;11774
1995;6;8;4;M;12031
1995;6;9;5;F;11645
1995;6;10;6;M;8719
1995;6;11;7;F;8149
1995;6;12;1;M;11169
1995;6;13;2;F;11790
1995;6;14;3;M;11958
1995;6;15;4;F;11906
1995;6;16;5;M;11856
1995;6;17;6;F;8821
1995;6;18;7;M;8203
1995;6;19;1;F;11223
1995;6;20;2;M;12395
1995;6;21;3;F;12049
1995;6;22;4;M;11799
1995;6;23;5;F;11942
1995;6;24;6;M;9065
1995;6;25;7;F;8279
1995;6;26;1;M;11127
1995;6;27;2;F;12349
1995;6;28;3;M;12162
1995;6;29;4;F;12423
1995;6;30;5;M;12338
1995;7;1;6;F;9283
1995;7;2;7;M;8256
1995;7;3;1;F;10623
1995;7;4;2;M;9374
1995;7;5;3;F;11399
1995;7;6;4;M;12855
1995;7;7;5;F;12954
1995;7;8;6;M;9438
1995;7;9;7;F;8506
1995;7;10;1;M;11618
1995;7;11;2;F;12552
1995;7;12;3;M;12167
1995;7;13;4;F;12253
1995;7;14;5;M;12659
1995;7;15;6;F;9391
1995;7;16;7;M;8516
1995;7;17;1;F;11461
1995;7;18;2;M;12495
1995;7;19;3;F;12129
1995;7;20;4;M;12598
1995;7;21;5;F;12428
1995;7;22;6;M;9328
1995;7;23;7;F;8483
1995;7;24;1;M;11501
1995;7;25;2;F;12580
1995;7;26;3;M;12316
1995;7;27;4;F;12309
1995;7;28;5;M;12442
1995;7;29;6;F;9277
1995;7;30;7;M;8384
1995;7;31;1;F;11298
1995;8;1;2;M;12442
1995;8;2;3;F;12249
1995;8;3;4;M;12193
1995;8;4;5;F;12186
1995;8;5;6;M;9267
1995;8;6;7;F;8346
1995;8;7;1;M;11223
1995;8;8;2;F;12441
1995;8;9;3;M;12217
1995;8;10;4;F;12243
1995;8;11;5;M;12154
1995;8;12;6;F;9153
1995;8;13;7;M;8421
1995;8;14;1;F;11297
1995;8;15;2;M;12760
1995;8;16;3;F;12244
1995;8;17;4;M;12345
1995;8;18;5;F;12362
1995;8;19;6;M;9265
1995;8;20;7;F;8434
1995;8;21;1;M;11436
1995;8;22;2;F;12612
1995;8;23;3;M;12083
1995;8;24;4;F;12381
1995;8;25;5;M;12208
1995;8;26;6;F;9155
1995;8;27;7;M;8509
1995;8;28;1;F;11473
1995;8;29;2;M;12522
1995;8;30;3;F;12631
1995;8;31;4;M;12485
1995;9;1;5;F;12439
1995;9;2;6;M;9079
1995;9;3;7;F;8438
1995;9;4;1;M;8441
1995;9;5;2;F;11682
1995;9;6;3;M;12951
1995;9;7;4;F;12924
1995;9;8;5;M;12939
1995;9;9;6;F;9714
1995;9;10;7;M;8568
1995;9;11;1;F;11480
1995;9;12;2;M;12583
1995;9;13;3;F;12173
1995;9;14;4;M;12789
1995;9;15;5;F;13023
1995;9;16;6;M;9535
1995;9;17;7;F;8757
1995;9;18;1;M;11729
1995;9;19;2;F;12692
1995;9;20;3;M;12571
1995;9;21;4;F;12663
1995;9;22;5;M;12813
1995;9;23;6;F;9341
1995;9;24;7;M;8659
1995;9;25;1;F;11552
1995;9;26;2;M;12814
1995;9;27;3;F;12605
1995;9;28;4;M;12845
1995;9;29;5;F;12316
1995;9;30;6;M;8988
1995;10;1;7;F;8545
1995;10;2;1;M;11650
1995;10;3;2;F;12375
1995;10;4;3;M;12016
1995;10;5;4;F;12245
1995;10;6;5;M;12081
1995;10;7;6;F;9048
1995;10;8;7;M;7997
1995;10;9;1;F;10892
1995;10;10;2;M;12273
1995;10;11;3;F;11843
1995;10;12;4;M;12002
1995;10;13;5;F;11078
1995;10;14;6;M;8920
1995;10;15;7;F;7996
1995;10;16;1;M;10840
1995;10;17;2;F;11974
1995;10;18;3;M;11693
1995;10;19;4;F;11463
1995;10;20;5;M;11610
1995;10;21;6;F;8673
1995;10;22;7;M;7827
1995;10;23;1;F;10770
1995;10;24;2;M;11916
1995;10;25;3;F;11573
1995;10;26;4;M;11534
1995;10;27;5;F;11449
1995;10;28;6;M;8633
1995;10;29;7;F;7876
1995;10;30;1;M;10480
1995;10;31;2;F;10740
1995;11;1;3;M;11702
1995;11;2;4;F;11746
1995;11;3;5;M;11368
1995;11;4;6;F;8438
1995;11;5;7;M;7868
1995;11;6;1;F;10809
1995;11;7;2;M;12038
1995;11;8;3;F;11702
1995;11;9;4;M;11441
1995;11;10;5;F;11246
1995;11;11;6;M;8522
1995;11;12;7;F;7891
1995;11;13;1;M;10534
1995;11;14;2;F;11455
1995;11;15;3;M;11629
1995;11;16;4;F;11436
1995;11;17;5;M;11410
1995;11;18;6;F;8493
1995;11;19;7;M;7772
1995;11;20;1;F;11476
1995;11;21;2;M;12503
1995;11;22;3;F;11304
1995;11;23;4;M;7754
1995;11;24;5;F;9125
1995;11;25;6;M;8115
1995;11;26;7;F;7500
1995;11;27;1;M;10979
1995;11;28;2;F;12002
1995;11;29;3;M;11344
1995;11;30;4;F;11215
1995;12;1;5;M;11206
1995;12;2;6;F;8429
1995;12;3;7;M;7703
1995;12;4;1;F;10346
1995;12;5;2;M;11676
1995;12;6;3;F;11188
1995;12;7;4;M;11242
1995;12;8;5;F;11166
1995;12;9;6;M;8201
1995;12;10;7;F;7595
1995;12;11;1;M;10429
1995;12;12;2;F;11784
1995;12;13;3;M;11191
1995;12;14;4;F;11403
1995;12;15;5;M;11458
1995;12;16;6;F;8509
1995;12;17;7;M;7759
1995;12;18;1;F;11139
1995;12;19;2;M;12501
1995;12;20;3;F;12043
1995;12;21;4;M;11944
1995;12;22;5;F;11204
1995;12;23;6;M;8058
1995;12;24;7;F;6999
1995;12;25;1;M;7027
1995;12;26;2;F;9447
1995;12;27;3;M;11897
1995;12;28;4;F;12530
1995;12;29;5;M;12207
1995;12;30;6;F;9093
1995;12;31;7;M;7596
1996;1;1;1;F;7683
1996;1;2;2;M;9408
1996;1;3;3;F;10954
1996;1;4;4;M;11308
1996;1;5;5;F;11631
1996;1;6;6;M;8680
1996;1;7;7;F;7735
1996;1;8;1;M;10044
1996;1;9;2;F;11018
1996;1;10;3;M;11144
1996;1;11;4;F;11304
1996;1;12;5;M;11274
1996;1;13;6;F;8488
1996;1;14;7;M;7685
1996;1;15;1;F;9912
1996;1;16;2;M;11181
1996;1;17;3;F;11148
1996;1;18;4;M;11579
1996;1;19;5;F;11292
1996;1;20;6;M;8492
1996;1;21;7;F;7701
1996;1;22;1;M;10593
1996;1;23;2;F;11451
1996;1;24;3;M;11336
1996;1;25;4;F;11405
1996;1;26;5;M;11195
1996;1;27;6;F;8487
1996;1;28;7;M;7533
1996;1;29;1;F;10374
1996;1;30;2;M;11359
1996;1;31;3;F;10889
1996;2;1;4;M;11030
1996;2;2;5;F;11335
1996;2;3;6;M;8390
1996;2;4;7;F;7531
1996;2;5;1;M;10364
1996;2;6;2;F;11360
1996;2;7;3;M;11204
1996;2;8;4;F;11529
1996;2;9;5;M;11577
1996;2;10;6;F;8578
1996;2;11;7;M;7710
1996;2;12;1;F;10542
1996;2;13;2;M;11322
1996;2;14;3;F;12094
1996;2;15;4;M;11820
1996;2;16;5;F;11666
1996;2;17;6;M;8465
1996;2;18;7;F;7763
1996;2;19;1;M;10036
1996;2;20;2;F;11598
1996;2;21;3;M;11554
1996;2;22;4;F;11697
1996;2;23;5;M;11415
1996;2;24;6;F;8692
1996;2;25;7;M;7917
1996;2;26;1;F;10693
1996;2;27;2;M;11761
1996;2;28;3;F;11428
1996;2;29;4;M;10692
1996;3;1;5;F;11785
1996;3;2;6;M;8719
1996;3;3;7;F;7885
1996;3;4;1;M;10586
1996;3;5;2;F;11475
1996;3;6;3;M;11535
1996;3;7;4;F;11446
1996;3;8;5;M;11272
1996;3;9;6;F;8611
1996;3;10;7;M;7512
1996;3;11;1;F;10668
1996;3;12;2;M;11623
1996;3;13;3;F;11338
1996;3;14;4;M;11578
1996;3;15;5;F;11860
1996;3;16;6;M;8691
1996;3;17;7;F;8010
1996;3;18;1;M;10812
1996;3;19;2;F;11764
1996;3;20;3;M;11482
1996;3;21;4;F;11653
1996;3;22;5;M;11727
1996;3;23;6;F;8534
1996;3;24;7;M;8002
1996;3;25;1;F;10662
1996;3;26;2;M;11764
1996;3;27;3;F;11532
1996;3;28;4;M;11728
1996;3;29;5;F;11659
1996;3;30;6;M;8712
1996;3;31;7;F;7956
1996;4;1;1;M;10173
1996;4;2;2;F;12055
1996;4;3;3;M;11622
1996;4;4;4;F;11881
1996;4;5;5;M;10985
1996;4;6;6;F;8354
1996;4;7;7;M;7372
1996;4;8;1;F;10659
1996;4;9;2;M;11631
1996;4;10;3;F;11429
1996;4;11;4;M;11489
1996;4;12;5;F;11462
1996;4;13;6;M;8565
1996;4;14;7;F;7687
1996;4;15;1;M;10548
1996;4;16;2;F;11754
1996;4;17;3;M;11554
1996;4;18;4;F;11282
1996;4;19;5;M;11438
1996;4;20;6;F;8451
1996;4;21;7;M;7789
1996;4;22;1;F;10957
1996;4;23;2;M;11979
1996;4;24;3;F;11342
1996;4;25;4;M;11340
1996;4;26;5;F;11070
1996;4;27;6;M;8444
1996;4;28;7;F;7567
1996;4;29;1;M;10325
1996;4;30;2;F;11391
1996;5;1;3;M;11390
1996;5;2;4;F;11397
1996;5;3;5;M;11011
1996;5;4;6;F;8483
1996;5;5;7;M;7821
1996;5;6;1;F;10585
1996;5;7;2;M;11567
1996;5;8;3;F;11403
1996;5;9;4;M;11404
1996;5;10;5;F;11471
1996;5;11;6;M;8495
1996;5;12;7;F;7758
1996;5;13;1;M;10291
1996;5;14;2;F;11757
1996;5;15;3;M;11619
1996;5;16;4;F;11637
1996;5;17;5;M;11370
1996;5;18;6;F;8696
1996;5;19;7;M;7906
1996;5;20;1;F;11073
1996;5;21;2;M;11962
1996;5;22;3;F;11733
1996;5;23;4;M;11511
1996;5;24;5;F;11835
1996;5;25;6;M;8666
1996;5;26;7;F;7746
1996;5;27;1;M;8034
1996;5;28;2;F;11151
1996;5;29;3;M;12119
1996;5;30;4;F;11964
1996;5;31;5;M;11853
1996;6;1;6;F;8866
1996;6;2;7;M;7962
1996;6;3;1;F;10916
1996;6;4;2;M;11783
1996;6;5;3;F;11695
1996;6;6;4;M;11849
1996;6;7;5;F;11750
1996;6;8;6;M;8739
1996;6;9;7;F;8013
1996;6;10;1;M;10927
1996;6;11;2;F;11978
1996;6;12;3;M;11710
1996;6;13;4;F;11521
1996;6;14;5;M;11644
1996;6;15;6;F;8783
1996;6;16;7;M;8004
1996;6;17;1;F;10981
1996;6;18;2;M;12105
1996;6;19;3;F;11779
1996;6;20;4;M;12052
1996;6;21;5;F;11759
1996;6;22;6;M;8946
1996;6;23;7;F;8128
1996;6;24;1;M;11080
1996;6;25;2;F;12150
1996;6;26;3;M;12154
1996;6;27;4;F;11957
1996;6;28;5;M;12057
1996;6;29;6;F;8956
1996;6;30;7;M;8281
1996;7;1;1;F;11779
